行业,富豪数量,总财富,平均财富
房地产、建筑、投资,1,60.0,60.0
房地产、工业制造,1,80.0,80.0
房地产、园林,1,66.0,66.0
快速诊断试剂,1,55.0,55.0
食品制造,1,55.0,55.0
食品与饮料,1,190.0,190.0
食品、房地产,1,125.0,125.0
风电,1,150.0,150.0
鞋业、地产,1,51.0,51.0
数据服务,1,85.0,85.0
数字新媒体、投资,1,260.0,260.0
教育、生物医药、房地产、投资,1,130.0,130.0
教育、房地产,1,200.0,200.0
摩托车、房地产,1,70.0,70.0
摩托车,1,60.0,60.0
控制电机,1,90.0,90.0
招聘网站,1,66.0,66.0
投资、有色金属,1,110.0,110.0
投资、房地产、服装,1,65.0,65.0
投资、房地产、教育,1,420.0,420.0
投资、地产,1,75.0,75.0
投资、区块链、游戏,1,60.0,60.0
打印设备,1,55.0,55.0
房地产、零售、制造,1,50.0,50.0
房地产、酒店,1,75.0,75.0
影视传媒,1,52.0,52.0
建筑玻璃,1,50.0,50.0
建筑开发、金融保险,1,225.0,225.0
建筑,1,50.0,50.0
建材家居,1,115.0,115.0
工具制造,1,210.0,210.0
工业设备、汽车零部件、房地产,1,205.0,205.0
工业电机,1,60.0,60.0
工业电器、投资,1,140.0,140.0
工业电器、房地产、投资,1,55.0,55.0
新能源、信息科技、投资,1,95.0,95.0
新型电子元件,1,50.0,50.0
文娱,1,55.0,55.0
文化娱乐,1,95.0,95.0
文化传媒、投资,1,230.0,230.0
文具、教育、房地产、金融,1,75.0,75.0
家具零售,1,55.0,55.0
宠物食品,1,90.0,90.0
宠物医院,1,95.0,95.0
娱乐,1,60.0,60.0
智能终端操作系统,1,59.0,59.0
智能机器人,1,105.0,105.0
智能家电,1,85.0,85.0
智能制造装备,1,55.0,55.0
智能制造、投资,1,160.0,160.0
智能交通,1,66.0,66.0
日化、投资,1,125.0,125.0
旅游、房地产,1,105.0,105.0
旅游,1,90.0,90.0
新能源、农业,1,700.0,700.0
微波电子器件,1,59.0,59.0
影视娱乐,1,140.0,140.0
杂货,1,235.0,235.0
机械配件,1,68.0,68.0
机械装备制造,1,65.0,65.0
机械电气、能源化工、房地产,1,52.0,52.0
服装与配饰,1,100.0,100.0
服装、橡胶轮胎、房地产,1,120.0,120.0
服装、投资,1,255.0,255.0
服装、房地产、投资,1,145.0,145.0
服装、房地产,1,75.0,75.0
有色金属、钢铁、物流,1,125.0,125.0
智能芯片,1,105.0,105.0
家禽养殖畜牧,1,120.0,120.0
家电、房地产,1,225.0,225.0
家电,1,265.0,265.0
家用电器及半导体产品,1,80.0,80.0
家居建材,1,100.0,100.0
汽车配件,1,80.0,80.0
汽车经销,1,50.0,50.0
汽车电子产品,1,67.0,67.0
汽车灯具,1,190.0,190.0
汽车服务,1,75.0,75.0
汽车制造业、房地产、农业,1,410.0,410.0
汽车内饰,1,115.0,115.0
污水处理,1,50.0,50.0
水泥、铝业,1,150.0,150.0
氧化铝、重化工、饲料,1,1200.0,1200.0
母婴产品,1,75.0,75.0
殡葬服务,1,60.0,60.0
橱柜,1,240.0,240.0
橡胶制品,1,50.0,50.0
橡胶,1,220.0,220.0
模拟芯片,1,95.0,95.0
天然气、能源化工,1,600.0,600.0
天然气、房地产,1,65.0,65.0
天然气,1,65.0,65.0
墙面保护装饰,1,65.0,65.0
塑胶产品、商业连锁、投资,1,52.0,52.0
塑料制造、汽车配件,1,58.0,58.0
基础设施建设、房地产,1,125.0,125.0
基础设施建设,1,500.0,500.0
基础建设,1,1450.0,1450.0
基因检测、医疗大数据,1,140.0,140.0
涂料,1,115.0,115.0
注塑机,1,175.0,175.0
汽车零配件,1,50.0,50.0
汽车零售,1,95.0,95.0
汽车销售、能源、房地产,1,280.0,280.0
汽车配饰,1,80.0,80.0
煤炭、热电、化工,1,70.0,70.0
煤炭、化工,1,120.0,120.0
煤化工、电力、运输,1,250.0,250.0
煤化工,1,950.0,950.0
热电元件,1,50.0,50.0
烟草、房地产、白酒,1,65.0,65.0
激光设备,1,90.0,90.0
游戏、语音软件,1,55.0,55.0
清洁能源装备,1,65.0,65.0
淋浴设备,1,58.0,58.0
液态气体,1,95.0,95.0
消费电子组件,1,50.0,50.0
消费电子、电讯,1,125.0,125.0
太阳能设备,1,95.0,95.0
太阳能芯片、发电厂,1,240.0,240.0
太阳能电池,1,50.0,50.0
生活用纸,1,55.0,55.0
生活服务平台,1,100.0,100.0
生活卫生产品,1,65.0,65.0
珠宝首饰,1,85.0,85.0
珠宝零售,1,50.0,50.0
珠光材料,1,130.0,130.0
环保造纸,1,235.0,235.0
环保建筑,1,70.0,70.0
环保,1,60.0,60.0
特种计算机,1,335.0,335.0
物流快递,1,60.0,60.0
物流地产、投资,1,110.0,110.0
物流、钢铁,1,670.0,670.0
物业管理,1,62.0,62.0
煤炭供应链管理、房地产,1,50.0,50.0
煤炭、热电、铝合金,1,53.0,53.0
地板,1,55.0,55.0
地产、贸易,1,80.0,80.0
地产、畜牧,1,290.0,290.0
商业、金融、地产,1,270.0,270.0
合金材料,1,58.0,58.0
变压器,1,70.0,70.0
厨具、投资,1,57.0,57.0
厨具,1,225.0,225.0
原料药,1,95.0,95.0
压缩机,1,50.0,50.0
印刷,1,55.0,55.0
印制电路板,1,140.0,140.0
卫星导航设备,1,50.0,50.0
生物材料,1,65.0,65.0
生物医药、房地产,1,225.0,225.0
生物医疗设备,1,135.0,135.0
电子部件,1,105.0,105.0
电子设备制造,1,75.0,75.0
电子烟,1,185.0,185.0
电子商务、金融,1,520.0,520.0
电子商务、儿童用品连锁,1,135.0,135.0
电子商务,1,175.0,175.0
电子制造、收藏,1,190.0,190.0
电子元件连接器,1,55.0,55.0
电子信息产品,1,58.0,58.0
电子,1,57.0,57.0
电器零部件制造,1,350.0,350.0
电动自行车,1,195.0,195.0
电动工具,1,55.0,55.0
